source,strategy,T,n,mean,std,ci_low,ci_high
ablation,cerm,725,19,0.022393671961185965,0.03218628697986131,0.007920952291001322,0.03686639163137061
ablation,cerm,726,19,0.022345724109352427,0.03208038200121404,0.007920625125225728,0.03677082309347913
ablation,cerm,727,19,0.022297776257518883,0.03197589747159555,0.007919659247671653,0.036675893267366116
ablation,cerm,728,19,0.022249828405685342,0.031872847360418066,0.007918048376925316,0.03658160843444537
ablation,cerm,729,19,0.0222018805538518,0.03177124562530359,0.007915786236874443,0.03648797487082916
ablation,cerm,730,19,0.02215393270201826,0.031671106205539805,0.007912866559650884,0.036394998844385636
ablation,cerm,731,19,0.02210598485018472,0.03157244301535971,0.00790928308865245,0.03630268661171699
ablation,cerm,732,19,0.02205803699835118,0.03147526993704797,0.007905029581642678,0.03621104441505968
ablation,cerm,733,19,0.02201008914651764,0.03137960081387717,0.007900099813927062,0.03612007847910821
ablation,cerm,734,19,0.021962141294684094,0.03128544944287793,0.007894487581604027,0.03602979500776416
ablation,cerm,735,19,0.021914193442850557,0.031192829567447174,0.007888186704888665,0.03594020018081245
ablation,cerm,736,19,0.021866245591017016,0.031101754869799353,0.007881191031507037,0.035851300150526996
ablation,cerm,737,19,0.02192810914869796,0.03112131796015638,0.007934257950955157,0.03592196034644077
ablation,cerm,738,19,0.0219899727063789,0.03114203495469767,0.007986806011803781,0.03599313940095402
ablation,cerm,739,19,0.022051836264059845,0.031163903552162184,0.008038836248826087,0.036064836279293605
ablation,cerm,740,19,0.022113699821740787,0.031186921330001744,0.00809034975133257,0.036137049892149005
ablation,cerm,741,19,0.022175563379421732,0.031211085745698825,0.008141347662578544,0.036209779096264924
ablation,cerm,742,19,0.022237426937102674,0.031236394138142866,0.008191831179145244,0.036283022695060105
ablation,cerm,743,19,0.022299290494783616,0.03126284372906348,0.008241801550295393,0.03635677943927184
ablation,cerm,744,19,0.022361154052464558,0.03129043162451866,0.008291260077304017,0.0364310480276251
ablation,cerm,745,19,0.0224230176101455,0.03131915481643632,0.008340208112765283,0.036505827107525715
ablation,cerm,746,19,0.022484881167826445,0.031349010184207264,0.008388647059876223,0.03658111527577667
ablation,cerm,747,19,0.022546744725507387,0.03137999449632761,0.00843657837169818,0.036656911079316595
ablation,cerm,748,19,0.02260860828318833,0.03141210441208877,0.008484003550396942,0.03673321301597972
ablation,cerm,749,19,0.022670471840869275,0.03144533648331304,0.008530924146462294,0.03681001953527625
ablation,cerm,750,19,0.022732335398550216,0.03147968715613269,0.008577341757908056,0.036887329039192375
ablation,cerm,751,19,0.022794198956231162,0.031515152772810535,0.008623258029453454,0.03696513988300887
ablation,cerm,752,19,0.0228560625139121,0.031551729573600015,0.008668674651686713,0.03704345037613749
ablation,cerm,753,19,0.022906659323221168,0.03156343881583483,0.008714006343571057,0.03709931230287128
ablation,cerm,754,19,0.022957256132530232,0.03157612127075607,0.00875890042566217,0.03715561183939829
ablation,cerm,755,19,0.023007852941839296,0.031589775766206724,0.008803357425026125,0.03721234845865247
ablation,cerm,756,19,0.023058449751148364,0.031604401042293645,0.008847377908179972,0.037269521594116756
ablation,cerm,757,19,0.02310904656045743,0.031619995751964045,0.008890962480832515,0.03732713064008235
ablation,cerm,758,19,0.023159643369766496,0.03163655846161998,0.008934111787608,0.03738517495192499
ablation,cerm,759,19,0.023210240179075563,0.03165408765177029,0.00897682651175299,0.03744365384639814
ablation,cerm,760,19,0.023260836988384624,0.03167258171771913,0.009019107374826715,0.03750256660194253
ablation,cerm,761,19,0.02331143379769369,0.03169203897029061,0.009060955136375311,0.03756191245901207
ablation,cerm,762,19,0.023362030607002753,0.031712457636588545,0.009102370593590113,0.03762169062041539
ablation,cerm,763,19,0.02341262741631182,0.031733835860790774,0.00914335458095054,0.0376819002516731
ablation,cerm,764,19,0.023463224225620888,0.03175617170497697,0.009183907969851843,0.03774254048138993
ablation,cerm,765,19,0.023513821034929952,0.03177946314998937,0.009224031668218073,0.03780361040164183
ablation,cerm,766,19,0.02356441784423902,0.03180370809632529,0.00926372662010078,0.037865109068377256
ablation,cerm,767,19,0.02361501465354808,0.03182890436506076,0.009302993805263653,0.037927035501832504
ablation,cerm,768,19,0.023665611462857145,0.031855049698804164,0.009341834238753772,0.037989388686960515
ablation,cerm,769,19,0.02361488580003114,0.03166150581122966,0.009378136521415737,0.03785163507864654
ablation,cerm,770,19,0.023564160137205137,0.03147105187461461,0.009413049392678409,0.03771527088173186
ablation,cerm,771,19,0.023513434474379133,0.03128374432343011,0.009446547476508806,0.03758032147224946
ablation,cerm,772,19,0.023462708811553133,0.0310996400080727,0.009478605209851061,0.037446812413255204
ablation,cerm,773,19,0.02341198314872713,0.030918796149083716,0.009509196863211904,0.037314769434242355
ablation,cerm,774,19,0.023361257485901128,0.03074127028807333,0.009538296562727918,0.037184218409074335
ablation,cerm,775,19,0.02331053182307512,0.030567120235296515,0.009565878313738237,0.037055185332412005
ablation,cerm,776,19,0.023259806160249117,0.030396404013841426,0.00959191602588054,0.036927696294617694
ablation,cerm,777,19,0.023209080497423106,0.030229179800404515,0.009616383539721779,0.03680177745512443
ablation,cerm,778,19,0.02315835483459711,0.030065505862642693,0.009639254654928124,0.03667745501426609
ablation,cerm,779,19,0.023107629171771105,0.029905440493109735,0.009660503159970706,0.036554755183571506
ablation,cerm,780,19,0.023056903508945098,0.029749041939803045,0.00968010286335567,0.03643370415453453
ablation,cerm,781,19,0.023006177846119094,0.029596368333366537,0.009698027626357726,0.03631432806588046
ablation,cerm,782,19,0.02295545218329309,0.029447477611017053,0.009714251397227,0.03619665296935918
ablation,cerm,783,19,0.022904726520467086,0.029302427437284225,0.009728748246828735,0.03608070479410544
ablation,cerm,784,19,0.022854000857641082,0.029161275121677585,0.009741492405664689,0.03596650930961748
ablation,cerm,785,19,0.02301771878589529,0.02941275919952651,0.009792129301537009,0.03624330827025357
ablation,cerm,786,19,0.0231814367141495,0.02967433461986416,0.009838228576433464,0.03652464485186553
ablation,cerm,787,19,0.02334515464240371,0.029945736940826556,0.009879909137917661,0.03681040014688976
ablation,cerm,788,19,0.023508872570657917,0.03022670145950228,0.00991729001093445,0.037100455130381384
ablation,cerm,789,19,0.023672590498912127,0.030516964064430604,0.009950489954480028,0.037394691043344225
ablation,cerm,790,19,0.023836308427166338,0.030816262016876712,0.009979627110297732,0.03769298974403494
ablation,cerm,791,19,0.024000026355420544,0.031124334660696376,0.01000481868368397,0.03799523402715712
ablation,cerm,792,19,0.024163744283674755,0.031440924061554416,0.010026180656060542,0.03830130791128897
ablation,cerm,793,19,0.02432746221192896,0.031765775577073746,0.010043827528604358,0.03861109689525356
ablation,cerm,794,19,0.024491180140183172,0.032098638360166874,0.010057872095922014,0.03892448818444433
ablation,cerm,795,19,0.02465489806843738,0.03243926579834562,0.010068425248512017,0.03924137088836274
ablation,cerm,796,19,0.02481861599669159,0.0327874158922266,0.010075595802568,0.03956163619081518
ablation,cerm,797,19,0.0249823339249458,0.033142851576759794,0.010079490355536713,0.039885177494354884
ablation,cerm,798,19,0.02514605185320001,0.03350534098891701,0.010080213165750624,0.04021189054064939
ablation,cerm,799,19,0.02530976978145422,0.033874657685698535,0.010077866054400175,0.040541673508508264
ablation,cerm,800,19,0.02547348770970843,0.03425058081636112,0.01007254832809063,0.04087442709132623
ablation,cerm,801,19,0.02532519954192176,0.03400580397397719,0.010034325251806813,0.040616073832036706
ablation,cerm,802,19,0.025176911374135098,0.03376525597158068,0.009994200657161903,0.04035962209110829
